id,name,latitude,longitude
3079,Leonard St & Grand St,40.711037,-73.94714
3080,S 4 St & Rodney St,40.70934,-73.95608
3081,Graham Ave & Grand St,40.711864,-73.94402
3082,Hope St & Union Ave,40.711674,-73.951416
3083,Bushwick Ave & Powers St,40.712475,-73.941
3084,52 St & 6 Ave,40.641087,-74.021286
3085,Roebling St & N 4 St,40.71469,-73.95739
3086,Graham Ave & Conselyea St,40.71514,-73.9445
3087,Cortelyou Rd & E 34 St,40.643906,-73.987335
3088,Union Ave & Jackson St,40.716076,-73.95203
3089,Leonard St & Meeker Ave,40.71732,-73.948204
3090,Church Ave & McDonald Ave,40.641087,-74.01202
3091,Frost St & Meeker St,40.71764,-73.94882
3092,Berry St & N 8 St,40.71901,-73.95853
3093,57 St & 4 Ave,40.63534,-74.02531
3094,Graham Ave & Withers St,40.71698,-73.94486
3095,Graham Ave & Herbert St,40.71929,-73.94501
3096,Union Ave & N 12 St,40.71924,-73.95242
3097,N Henry St & Richardson St,40.719215,-73.942444
3098,Leonard St & Bayard St,40.71928,-73.94861
3099,Leonard St & Manhattan Ave,40.721523,-73.94898
3100,Nassau Ave & Newell St,40.72481,-73.947525
3101,N 12 St & Bedford Ave,40.7208,-73.95485
3102,Driggs Ave & Lorimer St,40.72179,-73.95042
3103,N 11 St & Wythe Ave,40.72153,-73.957825
3104,Kent Ave & N 7 St,40.720577,-73.9615
3105,N 15 St & Wythe Ave,40.724056,-73.955734
3106,Driggs Ave & N Henry St,40.72325,-73.94308
3107,Bedford Ave & Nassau Ave,40.723118,-73.952126
3108,Nassau Ave & Russell St,40.72557,-73.94434
3109,Banker St & Meserole Ave,40.72606,-73.95621
3110,Meserole Ave & Manhattan Ave,40.727085,-73.953
3111,Norman Ave & Leonard St,40.72585,-73.950645
3112,Milton St & Franklin St,40.72906,-73.95779
3113,Greenpoint Ave & Manhattan Ave,40.64263,-74.01368
3114,India St & East River,40.73165,-73.96162
3115,India St & Manhattan Ave,40.732323,-73.955086
3116,Huron St & Franklin St,40.73266,-73.95826
3117,46 St & 7 Ave,40.638306,-74.02615
3118,McGuinness Blvd & Eagle St,40.73555,-73.95284
3119,Vernon Blvd & 50 Ave,40.74233,-73.95412
3120,Center Blvd & Borden Ave,40.74161,-73.96044
3121,Cortelyou Rd & Albany Ave,40.644554,-73.9917
3122,48 Ave & 5 St,40.74436,-73.95587
3123,31 St & Thomson Ave,40.744698,-73.9354
3124,46 Ave & 5 St,40.74731,-73.95451
3125,45 Rd & 11 St,40.605267,-74.022125
3126,44 Dr & Jackson Ave,40.74718,-73.94326
3127,9 St & 44 Rd,40.74966,-73.9521
3128,21 St & 43 Ave,40.750526,-73.945946
3129,53 St & 5 Ave,40.636955,-74.02219
3130,21 St & Queens Plaza North,40.753258,-73.94336
3131,E 68 St & 3 Ave,40.767128,-73.96225
3132,Beverley Rd & Nostrand Ave,40.642643,-74.011925
3133,E 67 St & Lexington Ave,40.76734,-73.964935
3134,3 Ave & E 62 St,40.763126,-73.96527
3135,Chester Ave & 12 Ave,40.64371,-74.01194
3136,5 Ave & E 63 St,40.76637,-73.97152
3137,5 Ave & E 73 St,40.772827,-73.96685
3138,58 St & 2 Ave,40.63931,-74.02675
3139,E 72 St & Park Ave,40.771183,-73.964325
3140,1 Ave & E 78 St,40.642494,-74.0132
3141,1 Ave & E 68 St,40.765007,-73.95818
3142,1 Ave & E 62 St,40.761,-73.962
3143,5 Ave & E 78 St,40.77632,-73.96427
3144,E 81 St & Park Ave,40.776775,-73.95901
3145,E 84 St & Park Ave,40.778625,-73.95772
3146,E 81 St & 3 Ave,40.77573,-73.95675
3147,E 85 St & 3 Ave,40.77801,-73.95407
3148,E 17 St & Beverley Rd,40.64032,-74.01723
3149,E 82 St & 2 Ave,40.775177,-73.95325
3150,E 85 St & York Ave,40.775368,-73.94804
3151,E 81 St & York Ave,40.77284,-73.94989
3152,3 Ave & E 71 St,40.768738,-73.9612
3153,E 71 St & 2 Ave,40.768177,-73.9591
3154,E 77 St & 3 Ave,40.773144,-73.958565
3155,Lexington Ave & E 63 St,40.64493,-74.00441
3156,E 72 St & York Ave,40.76664,-73.95348
3157,East End Ave & E 86 St,40.64388,-74.00572
3158,W 63 St & Broadway,40.771637,-73.98261
3159,W 67 St & Broadway,40.774925,-73.982666
3160,Central Park West & W 76 St,40.77897,-73.97375
3161,46 St & 6 Ave,40.639576,-74.01735
3162,W 78 St & Broadway,40.7834,-73.980934
3163,Central Park West & W 68 St,40.773407,-73.97783
3164,Brooklyn Ave & Beverley Rd,40.64534,-73.97898
3165,Central Park West & W 72 St,40.775753,-73.976204
3166,Albemarle Rd & McDonald Ave,40.637466,-74.02562
3167,Amsterdam Ave & W 73 St,40.779667,-73.980934
3168,Central Park West & W 85 St,40.784725,-73.96962
3169,53 St & 4 Ave,40.575413,-74.021286
3170,W 84 St & Columbus Ave,40.785,-73.97283
3171,Amsterdam Ave & W 82 St,40.785248,-73.97668
3172,Tilden Ave & Nostrand Ave,40.64646,-74.01187
3173,Riverside Blvd & W 67 St,40.777508,-73.988884
3175,W 70 St & Amsterdam Ave,40.776,-73.983
3176,W 64 St & West End Ave,40.77453,-73.98754
3177,W 84 St & Broadway,40.786797,-73.97711
3178,57 St & 1 Ave,40.638184,-74.02434
3179,Park Ave & Marcus Garvey Blvd,40.698616,-73.941345
3180,Albemarle Rd & E 21 St,40.64331,-74.01328
3181,Soissons Landing,40.692608,-74.016396
3182,Yankee Ferry Terminal,40.68693,-74.01697
3183,Exchange Place,40.716248,-74.03346
3184,Paulus Hook,40.714146,-74.033554
3185,City Hall,40.71773,-74.043846
3186,Grove St PATH,40.71928,-74.04311
3187,Beverley Rd & E 49 St,40.642643,-74.03805
3188,NJCU,40.64202,-74.085846
3191,Union St,40.718212,-74.08364
3192,7 Ave & 41 St,40.63479,-74.0557
3195,Sip Ave,40.730743,-74.06391
3196,Riverview Park,40.74432,-74.04399
3197,Harborsid,40.719254,-74.04472
3198,Heights Elevator,40.748535,-74.04044
3199,Caton Ave & E 7 St,40.575413,-74.032104
3201,Dey St,40.737713,-74.06692
3202,48 St & 5 Ave,40.636955,-74.03376
3203,Hamilton Park,40.727596,-74.04425
3205,Brooklyn Ave & Tilden Ave,40.64539,-74.04964
3206,Hilltop,40.73117,-74.05757
3208,Dahill Rd & 12 Ave,40.645164,-74.01266
3209,Brunswick St,40.72418,-74.05066
3210,Pershing Field,40.742676,-74.05179
3211,53 St & 2 Ave,40.63927,-74.0463
3212,Christ Hospital,40.734787,-74.050446
3213,Van Vorst Park,40.71849,-74.04773
3214,Essex Light Rail,40.646076,-74.03648
3215,JSQ Don't Use,0.0,0.0
3219,NYCBS Depot - STY,40.729195,-73.976654
3220,5 Corners Library,40.641396,-74.0595
3221,47 Ave & 31 St,40.743,-73.93561
3222,Hanson Pl & St Felix St,40.685158,-73.97711
3223,E 55 St & 3 Ave,40.635815,-74.011505
3224,W 13 St & Hudson St,40.739975,-74.00514
3225,Baldwin at Montgomery,40.72366,-74.06419
3226,W 82 St & Central Park West,40.78275,-73.97137
3229,E 48 St & Tilden Ave,40.647648,-73.978806
3230,Caton Ave & E 10 St,40.639484,-74.02667
3231,E 67 St & Park Ave,40.7678,-73.96592
